filename,model,line_count,job_count,step_count,section_6.1,section_6.2,section_6.3,section_6.4,section_6.5,section_6.6,section_6.7,section_6.8,section_6.9,section_6.10,section_6.11,section_6.12,section_6.13,section_6.14,section_6.15,section_6.16,section_6.17,section_6.18,section_6.19,section_6.20,section_6.21,section_6.22,section_6.23,section_6.24,section_6.25,section_6.26,section_6.27,section_6.28,section_6.29,section_6.30
java/Alovoa@alovoa/gha_maven.yml,gpt-5,24,1,4,NO,YES,NO,YES,NO,NOT APPLICABLE,NOT APPLICABLE,YES,YES,YES,NO,NO,YES,YES,NO,NO,YES,YES,YES,NO,NOT APPLICABLE,NO,YES,YES,NO,NOT APPLICABLE,YES,NO,NO,YES
java/AlphaWallet@alpha-wallet-android/gha_ci.yml,gpt-5,33,1,5,NO,YES,YES,YES,YES,NOT APPLICABLE,NOT APPLICABLE,YES,NO,YES,NO,NO,YES,NOT APPLICABLE,YES,NO,NO,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,YES,NO,YES,NO,NO,NOT APPLICABLE,NO,NO,YES,YES
java/Angular2Guy@Angular2AndJavaEE/gha_codeql-analysis.yml,gpt-5,32,1,5,YES,YES,YES,YES,YES,NOT APPLICABLE,NOT APPLICABLE,YES,NO,NOT APPLICABLE,NO,NO,YES,NOT APPLICABLE,YES,NO,NOT APPLICABLE,NOT APPLICABLE,YES,NOT APPLICABLE,NOT APPLICABLE,YES,NOT APPLICABLE,NO,NO,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,YES,YES
java/AsyncHttpClient@async-http-client/gha_builds.yml,gpt-5,39,3,11,NO,YES,YES,YES,YES,NOT APPLICABLE,NOT APPLICABLE,YES,NO,YES,NO,NO,YES,NOT APPLICABLE,YES,YES,YES,YES,NOT APPLICABLE,NO,NOT APPLICABLE,NO,YES,NO,NO,NOT APPLICABLE,YES,NO,YES,YES
java/AuraDevelopmentTeam@BungeeChat2/gha_code_checks_reports.yml,gpt-5,38,1,4,NO,YES,YES,YES,YES,NOT APPLICABLE,NOT APPLICABLE,YES,NOT APPLICABLE,NOT APPLICABLE,NO,NO,YES,NOT APPLICABLE,YES,NO,NOT APPLICABLE,NOT APPLICABLE,YES,NOT APPLICABLE,YES,NO,NOT APPLICABLE,NOT APPLICABLE,NO,NOT APPLICABLE,YES,YES,NOT APPLICABLE,YES
java/AuthMe@AuthMeReloaded/gha_maven.yml,gpt-5,21,1,3,NO,YES,YES,YES,YES,NOT APPLICABLE,NOT APPLICABLE,YES,YES,YES,NO,NO,YES,YES,YES,NO,YES,YES,YES,NO,NOT APPLICABLE,NO,YES,YES,NO,NOT APPLICABLE,YES,NO,NO,YES
java/AxolotlClient@AxolotlClient-mod/gha_build.yml,gpt-5,24,1,6,NO,YES,YES,YES,YES,NOT APPLICABLE,NOT APPLICABLE,YES,YES,YES,NO,NO,YES,YES,YES,YES,YES,NOT APPLICABLE,YES,NO,NO,NO,YES,YES,NO,NOT APPLICABLE,YES,NO,NO,YES
java/AxonFramework@extension-kafka/gha_add-to-project.yml,gpt-5,15,1,1,NO,YES,YES,YES,YES,NOT APPLICABLE,NOT APPLICABLE,YES,NOT APPLICABLE,NOT APPLICABLE,NO,NO,NO,NOT APPLICABLE,YES,NO,NOT APPLICABLE,NOT APPLICABLE,YES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NO,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,YES
java/Azure-Samples@azure-search-openai-demo-java/gha_stale-bot.yml,gpt-5,18,1,1,NO,YES,YES,YES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NO,NO,YES,NOT APPLICABLE,YES,NO,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NO,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,YES
java/Azure-Samples@java-on-azure-examples/gha_1_build.yml,gpt-5,19,1,3,NO,YES,YES,YES,YES,NOT APPLICABLE,NOT APPLICABLE,YES,YES,YES,NO,NO,YES,YES,YES,NO,YES,NOT APPLICABLE,NOT APPLICABLE,NO,NOT APPLICABLE,NO,YES,YES,NO,NOT APPLICABLE,YES,NO,NO,NOT APPLICABLE
java/BenCodez@AdvancedCore/gha_publish-javadoc.yml,gpt-5,21,1,1,YES,YES,YES,YES,YES,NOT APPLICABLE,NOT APPLICABLE,YES,NO,NO,NO,NO,YES,NO,YES,NO,YES,NOT APPLICABLE,NOT APPLICABLE,NO,NOT APPLICABLE,NO,NOT APPLICABLE,NO,NO,NOT APPLICABLE,NOT APPLICABLE,NO,NO,YES
java/BetterGUI-MC@BetterGUI/gha_maven-build.yml,gpt-5,26,1,5,NO,YES,YES,YES,YES,NOT APPLICABLE,NOT APPLICABLE,YES,NO,YES,NO,NO,YES,NOT APPLICABLE,YES,YES,YES,YES,YES,NO,NO,NO,YES,NO,NO,NOT APPLICABLE,YES,NO,NO,YES
java/BreweryTeam@BreweryX/gha_build.yml,gpt-5,24,1,5,NO,YES,YES,YES,YES,NOT APPLICABLE,NOT APPLICABLE,YES,YES,YES,NO,NO,YES,YES,YES,YES,YES,YES,YES,NOT APPLICABLE,NOT APPLICABLE,NO,YES,YES,NO,NOT APPLICABLE,YES,NO,YES,YES
java/BroncBotz3481@YAGSL-Example/gha_test.yml,gpt-5,28,1,3,NO,YES,YES,YES,YES,NOT APPLICABLE,NOT APPLICABLE,YES,NOT APPLICABLE,YES,NO,NO,NO,NOT APPLICABLE,YES,NO,YES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NO,NOT APPLICABLE,NOT APPLICABLE,NO,NO,YES,NO,NO,YES
java/ByteLegendQuest@remember-brave-people/gha_check.yml,gpt-5,85,2,12,NO,YES,YES,YES,YES,NOT APPLICABLE,NOT APPLICABLE,YES,YES,YES,NO,NO,NO,YES,YES,NO,YES,YES,YES,NO,NOT APPLICABLE,NO,YES,YES,NO,NOT APPLICABLE,YES,NO,YES,YES
java/CDCgov@prime-simplereport/gha_checkGraphql.yml,gpt-5,55,1,8,YES,YES,YES,YES,YES,NOT APPLICABLE,NOT APPLICABLE,YES,YES,YES,NO,NO,YES,YES,YES,YES,YES,NO,YES,NOT APPLICABLE,NOT APPLICABLE,NO,YES,YES,NO,NOT APPLICABLE,YES,YES,YES,YES
java/CROSSINGTUD@CryptoAnalysis/gha_merge_queue_ubuntu.yml,gpt-5,33,3,6,YES,YES,YES,YES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NO,NOT APPLICABLE,NO,NO,YES,NOT APPLICABLE,YES,YES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NO,NOT APPLICABLE,NO,NO,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,YES,YES
java/CallmeSHaobe@123Technology/gha_build-and-test.yml,gpt-5,10,1,1,YES,YES,NOT APPLICABLE,NOT APPLICABLE,YES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NO,NOT APPLICABLE,YES,NOT APPLICABLE,NOT APPLICABLE,NO,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NO,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE
java/Cap-go@capacitor-inappbrowser/gha_test.yml,gpt-5,56,3,15,NO,YES,YES,YES,YES,NOT APPLICABLE,NOT APPLICABLE,YES,NO,NO,NO,NO,YES,NO,YES,YES,YES,YES,YES,NO,NOT APPLICABLE,NO,YES,NO,NO,NOT APPLICABLE,NO,NO,YES,YES
java/CatimaLoyalty@Android/gha_contributors-to-file.yml,gpt-5,40,1,3,YES,YES,YES,YES,YES,NOT APPLICABLE,NOT APPLICABLE,YES,NOT APPLICABLE,NOT APPLICABLE,NO,NO,YES,NOT APPLICABLE,YES,YES,NOT APPLICABLE,NOT APPLICABLE,YES,NOT APPLICABLE,YES,NO,NOT APPLICABLE,NOT APPLICABLE,NO,NOT APPLICABLE,NOT APPLICABLE,NO,NOT APPLICABLE,YES
java/CleanroomMC@Fugue/gha_release.yml,gpt-5,29,1,6,NO,YES,YES,YES,YES,NOT APPLICABLE,NOT APPLICABLE,YES,YES,YES,NO,NO,YES,YES,YES,YES,YES,YES,NOT APPLICABLE,NO,NOT APPLICABLE,NO,YES,YES,NO,NOT APPLICABLE,YES,NO,NO,NOT APPLICABLE
java/CloudExplorer-Dev@CloudExplorer-Lite/gha_issue-comment.yml,gpt-5,33,2,4,YES,YES,YES,YES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NO,NO,YES,NOT APPLICABLE,YES,NO,NOT APPLICABLE,NOT APPLICABLE,YES,NOT APPLICABLE,YES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NO,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,YES
java/Col-E@Recaf/gha_build.yml,gpt-5,140,3,19,YES,YES,YES,YES,YES,NOT APPLICABLE,NOT APPLICABLE,NO,NO,YES,NO,NO,NO,NO,YES,NO,YES,NOT APPLICABLE,YES,NO,NO,NO,YES,NO,NO,YES,YES,YES,YES,YES
java/ConsensusJ@consensusj/gha_gradle-wrapper-validation.yml,gpt-5,9,1,2,NO,YES,YES,YES,YES,NOT APPLICABLE,NOT APPLICABLE,YES,NOT APPLICABLE,NOT APPLICABLE,NO,NO,YES,NOT APPLICABLE,YES,YES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NO,NOT APPLICABLE,NOT APPLICABLE,NO,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,YES
java/ControlSystemStudio@phoebus/gha_build_latest.yml,gpt-5,28,1,4,NO,YES,YES,YES,YES,NOT APPLICABLE,NOT APPLICABLE,YES,NO,YES,NO,NO,YES,NOT APPLICABLE,YES,YES,YES,YES,YES,NO,NOT APPLICABLE,NO,YES,NO,NO,NOT APPLICABLE,NO,NO,NO,YES
java/CorfuDB@CorfuDB/gha_integration-test.yml,gpt-5,29,1,5,NO,YES,YES,YES,YES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,YES,YES,NO,NO,YES,NO,YES,YES,YES,NOT APPLICABLE,NOT APPLICABLE,YES,NOT APPLICABLE,NO,YES,YES,NO,NOT APPLICABLE,YES,NO,YES,YES
java/Cosmic-Ide@Cosmic-IDE/gha_android.yml,gpt-5,53,1,11,NO,YES,YES,YES,YES,NOT APPLICABLE,NOT APPLICABLE,YES,YES,YES,NO,NO,YES,YES,YES,NO,YES,NOT APPLICABLE,NOT APPLICABLE,NO,NOT APPLICABLE,NO,YES,YES,NO,NOT APPLICABLE,YES,NO,NO,YES
java/Countly@countly-sdk-android/gha_build_and_test_sdk.yml,gpt-5,57,1,12,YES,YES,YES,YES,YES,NOT APPLICABLE,NOT APPLICABLE,YES,NO,YES,NO,NO,YES,NOT APPLICABLE,YES,NO,YES,YES,NOT APPLICABLE,NO,YES,NO,YES,NO,NO,NOT APPLICABLE,YES,YES,NO,YES
java/Crazy-Marvin@Flashy/gha_codeql-analysis.yml,gpt-5,25,1,5,NO,YES,YES,YES,YES,NOT APPLICABLE,NOT APPLICABLE,YES,NO,NOT APPLICABLE,NO,NO,YES,NOT APPLICABLE,YES,NO,YES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,YES,YES,NOT APPLICABLE,NO,NO,NOT APPLICABLE,YES,YES,YES,YES
java/CycloneDX@cyclonedx-core-java/gha_docs.yml,gpt-5,28,1,4,NO,YES,YES,YES,YES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NO,YES,YES,NO,YES,NOT APPLICABLE,YES,YES,YES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NO,YES,NO,NO,NOT APPLICABLE,YES,YES,YES,YES
java/CyclopsMC@EvilCraft/gha_close-issues-no-response.yml,gpt-5,23,1,2,NO,YES,YES,YES,YES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NO,NO,YES,NOT APPLICABLE,YES,YES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NO,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,YES
java/DSpace@DSpace/gha_build.yml,gpt-5,64,2,8,YES,YES,YES,YES,YES,NOT APPLICABLE,NOT APPLICABLE,YES,YES,YES,NO,NO,YES,YES,YES,YES,YES,NOT APPLICABLE,YES,NO,YES,NO,YES,YES,NO,NOT APPLICABLE,YES,YES,YES,YES
java/DanielLiu1123@grpc-starter/gha_create-tweet-on-x.yml,gpt-5,31,1,2,NO,YES,YES,YES,YES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NO,NO,NO,NO,YES,NOT APPLICABLE,YES,YES,YES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NO,NO,NO,NO,NOT APPLICABLE,YES,NO,NOT APPLICABLE,NOT APPLICABLE
java/DataDog@datadog-api-client-java/gha_stale.yml,gpt-5,35,1,1,NO,YES,YES,YES,YES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NO,NO,YES,NOT APPLICABLE,YES,YES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NO,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE
java/Decathlon@tzatziki/gha_build.yml,gpt-5,37,1,6,NO,YES,YES,YES,YES,NOT APPLICABLE,NOT APPLICABLE,YES,YES,YES,NO,NO,YES,YES,YES,NO,YES,NOT APPLICABLE,YES,NO,NO,YES,NOT APPLICABLE,YES,NO,NOT APPLICABLE,YES,NO,NO,NOT APPLICABLE
java/Delta-Icons@android/gha_update_requests.yml,gpt-5,40,1,6,YES,YES,YES,YES,YES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NO,YES,NO,NO,YES,NOT APPLICABLE,YES,YES,YES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NO,YES,NO,NO,NOT APPLICABLE,YES,YES,NOT APPLICABLE,YES
java/DependencyTrack@hyades/gha_build-native-vulnerability-analyzer.yml,gpt-5,31,1,1,YES,YES,NOT APPLICABLE,YES,YES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NO,YES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,YES,NOT APPLICABLE,NOT APPLICABLE,NO,NOT APPLICABLE,NOT APPLICABLE,YES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,YES
java/Difegue@DoujinSoft/gha_backup.yml,gpt-5,20,1,2,YES,YES,YES,YES,YES,NOT APPLICABLE,NOT APPLICABLE,YES,NO,NOT APPLICABLE,NO,NO,YES,NOT APPLICABLE,YES,NO,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NO,NOT APPLICABLE,NO,NO,NOT APPLICABLE,NOT APPLICABLE,NO,NOT APPLICABLE,YES
java/Ellpeck@NaturesAura/gha_release.yml,gpt-5,39,1,5,YES,YES,YES,YES,YES,NOT APPLICABLE,NOT APPLICABLE,YES,YES,YES,NO,NO,YES,YES,YES,YES,YES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NO,NO,YES,NO,NO,YES,NO,NO,NOT APPLICABLE
java/Erudika@para/gha_latest-base.yml,gpt-5,39,1,6,YES,YES,YES,YES,YES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NO,YES,NO,NO,YES,YES,YES,NO,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NO,NOT APPLICABLE,NO,NO,NOT APPLICABLE,NOT APPLICABLE,NO,NO,YES
java/Erudika@scoold/gha_tag.yml,gpt-5,42,1,7,YES,YES,YES,YES,YES,NOT APPLICABLE,NOT APPLICABLE,YES,YES,YES,NO,NO,NO,YES,YES,NO,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NO,NO,NOT APPLICABLE,YES,NO,NOT APPLICABLE,NOT APPLICABLE,NO,NO,NOT APPLICABLE
java/EternalCodeTeam@EternalCore/gha_autoapprove.yml,gpt-5,12,1,1,NO,YES,YES,YES,YES,NOT APPLICABLE,NOT APPLICABLE,YES,NOT APPLICABLE,NOT APPLICABLE,NO,NO,YES,NOT APPLICABLE,YES,YES,NOT APPLICABLE,NOT APPLICABLE,YES,NOT APPLICABLE,YES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NO,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,YES
java/Euphillya@Skyllia/gha_build-dev.yml,gpt-5,32,1,7,YES,YES,YES,YES,YES,NOT APPLICABLE,NOT APPLICABLE,NO,YES,NO,NO,NO,YES,YES,YES,YES,NO,NOT APPLICABLE,YES,NO,NO,NO,NO,YES,NO,NOT APPLICABLE,NO,NO,NO,YES
java/EventStore@EventStoreDB-Client-Java/gha_tests.yml,gpt-5,111,4,18,YES,YES,YES,YES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,YES,YES,NO,NO,YES,YES,YES,YES,YES,NOT APPLICABLE,YES,NO,YES,NO,NOT APPLICABLE,YES,NO,NO,NO,NO,YES,YES
java/EventStore@samples/gha_build.cqrs_flow.dotnet.yml,gpt-5,30,1,7,YES,YES,YES,YES,YES,NOT APPLICABLE,NOT APPLICABLE,YES,NO,NO,NO,NO,YES,NOT APPLICABLE,YES,NO,YES,NOT APPLICABLE,NOT APPLICABLE,NO,NOT APPLICABLE,NO,YES,NO,NO,NOT APPLICABLE,YES,NO,NO,NOT APPLICABLE
java/FEMR@femr/gha_scala.yml,gpt-5,28,1,4,YES,YES,YES,YES,YES,NOT APPLICABLE,NOT APPLICABLE,YES,YES,YES,NO,NO,YES,YES,YES,NO,YES,YES,NOT APPLICABLE,NO,NOT APPLICABLE,NO,NOT APPLICABLE,YES,NO,NOT APPLICABLE,YES,NO,YES,YES
java/FIXTradingCommunity@fix-orchestra/gha_maven.yml,gpt-5,20,1,4,NO,YES,YES,YES,YES,NOT APPLICABLE,NOT APPLICABLE,YES,YES,YES,NO,NO,YES,YES,YES,NO,YES,NOT APPLICABLE,NOT APPLICABLE,NO,NOT APPLICABLE,NO,NOT APPLICABLE,YES,NO,NOT APPLICABLE,YES,NO,NO,YES
java/FTBTeam@FTB-App/gha_awaiting-reply.yml,gpt-5,16,1,1,YES,YES,YES,YES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NO,NO,YES,NOT APPLICABLE,YES,NO,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NO,NOT APPLICABLE,NOT APPLICABLE,NO,NOT APPLICABLE,NOT APPLICABLE,NO,NOT APPLICABLE,YES
java/FTBTeam@FTB-Chunks/gha_build.yml,gpt-5,22,1,1,YES,YES,NOT APPLICABLE,NOT APPLICABLE,YES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NO,NO,YES,NOT APPLICABLE,NOT APPLICABLE,NO,NOT APPLICABLE,NOT APPLICABLE,YES,NOT APPLICABLE,NO,NO,NOT APPLICABLE,NOT APPLICABLE,NO,NO,NOT APPLICABLE,NO,NO,YES
java/FabricMC@fabric-docs/gha_markdownlint.yml,gpt-5,35,1,4,NO,YES,YES,YES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,YES,NO,YES,NO,NO,YES,NOT APPLICABLE,YES,YES,YES,YES,YES,NOT APPLICABLE,YES,NO,YES,NO,NO,NOT APPLICABLE,YES,YES,YES,YES
java/FabricMC@fabric-loader/gha_build.yml,gpt-5,37,2,7,NO,YES,YES,YES,YES,NOT APPLICABLE,NOT APPLICABLE,YES,NO,NO,NO,NO,YES,NOT APPLICABLE,YES,NO,YES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NO,NOT APPLICABLE,NO,NO,NOT APPLICABLE,YES,YES,YES,YES
java/FabricMC@yarn/gha_build.yml,gpt-5,33,2,8,NO,YES,YES,YES,YES,NOT APPLICABLE,NOT APPLICABLE,YES,NO,NO,NO,NO,YES,NOT APPLICABLE,YES,YES,YES,NO,YES,NO,YES,NO,NOT APPLICABLE,NO,NO,NOT APPLICABLE,YES,YES,YES,YES
java/FairyProject@fairy/gha_build.yml,gpt-5,25,1,5,NO,YES,YES,YES,YES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,YES,YES,NO,NO,YES,YES,YES,NO,YES,YES,YES,NO,NOT APPLICABLE,NO,YES,YES,NO,NOT APPLICABLE,YES,NO,NO,YES
java/FalsePattern@FalseTweaks/gha_build-and-test.yml,gpt-5,15,1,1,YES,YES,NOT APPLICABLE,NOT APPLICABLE,YES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NO,NO,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NO,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NO,NOT APPLICABLE,NOT APPLICABLE,NO,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,YES
java/FasterXML@jackson-datatypes-collections/gha_dep_build_v3.yml,gpt-5,28,1,3,NO,YES,YES,YES,YES,NOT APPLICABLE,NOT APPLICABLE,YES,YES,YES,YES,NO,NO,YES,YES,YES,YES,NOT APPLICABLE,YES,NO,NOT APPLICABLE,NO,YES,YES,NO,NOT APPLICABLE,YES,YES,NO,YES
java/FgForrest@evitaDB/gha_docker-canary.yml,gpt-5,54,1,7,YES,YES,YES,YES,YES,NOT APPLICABLE,NOT APPLICABLE,YES,NO,YES,YES,NO,NO,NOT APPLICABLE,YES,YES,YES,YES,YES,NOT APPLICABLE,YES,NO,NOT APPLICABLE,NO,NO,NOT APPLICABLE,YES,YES,YES,YES
